frequency_Hz,intensity_normalized
99999944184138.19,0.6705257858791622
99999947373616.02,0.6960053199376365
99999950563093.83,0.7218205684618514
99999953752571.64,0.7478242334406641
99999956942049.47,0.7738435109298496
99999960131527.28,0.7996796157920435
99999963321005.1,0.8251082308009747
99999966510482.92,0.8498810990465421
99999969699960.73,0.8737289592125331
99999972889438.55,0.8963659720220016
99999976078916.38,0.917495699868966
99999979268394.19,0.9368185903826153
99999982457872.0,0.9540407734729325
99999985647349.83,0.9688838238943955
99999988836827.64,0.9810949937228339
99999992026305.45,0.9904572943952712
99999995215783.28,0.9967987323079365
99999998405261.1,1.0
100000001594738.9,1.0
100000004784216.72,0.9967987323079365
100000007973694.55,0.9904572943952712
100000011163172.36,0.9810949937228339
100000014352650.17,0.9688838238943955
100000017542128.0,0.9540407734729325
100000020731605.81,0.9368185903826153
100000023921083.62,0.917495699868966
100000027110561.45,0.8963659720220016
100000030300039.27,0.8737289592125331
100000033489517.08,0.8498810990465421
100000036678994.9,0.8251082308009747
100000039868472.72,0.7996796157920435
100000043057950.53,0.7738435109298496
100000046247428.36,0.7478242334406641
100000049436906.17,0.7218205684618514
100000052626383.98,0.6960053199376365
100000055815861.81,0.6705257858791622
100000059005339.62,0.6455049351891798
100000062194817.44,0.6210430789488708
100000065384295.25,0.5972198580795756
100000068573773.08,0.5740963952424084
100000071763250.89,0.5517174934441262
100000074952728.7,0.530113789975086
100000078142206.53,0.5093038043058224
100000081331684.34,0.4892958371822989
100000084521162.16,0.47008969603921286
100000087710639.98,0.45167823809499197
100000090900117.8,0.4340487296643589
100000094089595.61,0.417184027523716
100000097279073.44,0.40106359510875356
100000100468551.25,0.3856643665219458
100000103658029.06,0.3709614729031232
100000106847506.89,0.35692884805128433
100000110036984.7,0.3435397275672794
100000113226462.52,0.33076705516712457
100000116415940.34,0.31858381045965506
100000119605418.16,0.3069632692957234
100000122794895.97,0.29587920671312656
100000125984373.8,0.285306052771394
100000129173851.61,0.2752190087016442
100000132363329.42,0.26559412988009257
100000135552807.23,0.2564083825154677
100000138742285.06,0.24763967825175626
100000141931762.88,0.23926689149897726
100000145121240.69,0.23126986236158212
100000148310718.52,0.22362938895961587
100000151500196.33,0.2163272111829854
100000154689674.14,0.20934598762168188
100000157879151.97,0.20266926801785692
100000161068629.78,0.1962814622338925
100000164258107.6,0.1901678065859003
100000167447585.42,0.18431432902280073
100000170637063.23,0.17870781353962842
100000173826541.05,0.1733357641616509
100000177016018.88,0.1681863694558175
100000180205496.69,0.1632484676260331
100000183394974.5,0.1585115122487404
